,lodging,clothing_store,cafe,restaurant,school,health,meal_delivery,point_of_interest,subway_station,electronics_store,home_goods_store,bar,police,convenience_store,store,synagogue,furniture_store,food,sublocality_level_1,florist,bicycle_store,locality,hardware_store,night_club,park,grocery_or_supermarket,general_contractor,pharmacy,church,jewelry_store,bakery,meal_takeaway,pet_store,shoe_store,post_office,book_store,neighborhood,art_gallery,finance,gym,lawyer,doctor,insurance_agency,real_estate_agency,accounting,car_dealer,physiotherapist,travel_agency,liquor_store,parking,bus_station,atm,hospital,spa,movie_theater,library,museum,moving_company,cemetery,storage,local_government_office,car_repair,transit_station,courthouse,gas_station,dentist,department_store,car_rental,hindu_temple,funeral_home,painter,car_wash,bank,mosque,locksmith,university,hair_care,beauty_salon,shopping_mall,place_of_worship,roofing_contractor,plumber,laundry,veterinary_care,electrician,amusement_park,stadium,movie_rental,campground,bowling_alley,premise,natural_feature,zoo,aquarium,light_rail_station,rv_park,embassy,city_hall,airport,fire_station,casino
197,3.0,3.0,,14.0,4.0,1.0,2.0,5.0,,1.0,1.0,1.0,1.0,,5.0,,,1.0,1.0,,,1.0,,1.0,1.0,2.0,,,,,2.0,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,3.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,6.0,,16.0,6.0,1.0,2.0,4.0,,2.0,1.0,4.0,,,3.0,,1.0,,1.0,,,1.0,1.0,,2.0,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,4.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
191,1.0,1.0,3.0,12.0,2.0,,1.0,1.0,2.0,,,16.0,,,1.0,,1.0,3.0,1.0,,,1.0,1.0,,,,2.0,1.0,,,3.0,,1.0,,,1.0,,,,1.0,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
190,4.0,3.0,5.0,8.0,1.0,,2.0,2.0,2.0,,,12.0,,1.0,1.0,,,2.0,1.0,,,1.0,,2.0,1.0,2.0,1.0,,,,2.0,2.0,,,,1.0,,,1.0,2.0,,2.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,7.0,2.0,3.0,11.0,1.0,,,3.0,1.0,,,17.0,,,5.0,,,,1.0,2.0,1.0,1.0,1.0,2.0,,1.0,,1.0,,,,1.0,1.0,,1.0,,,1.0,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
192,1.0,,5.0,12.0,1.0,,,2.0,1.0,,1.0,17.0,,,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,,,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
270,2.0,1.0,2.0,16.0,4.0,2.0,2.0,3.0,,1.0,,1.0,1.0,,8.0,,2.0,,1.0,2.0,,1.0,,,,4.0,1.0,,2.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,,2.0,,15.0,11.0,1.0,,2.0,,2.0,,1.0,,,7.0,,2.0,1.0,1.0,,,1.0,1.0,,,3.0,,,2.0,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,,3.0,,17.0,9.0,1.0,,5.0,1.0,,,5.0,,,4.0,,2.0,1.0,1.0,,,1.0,,1.0,,3.0,,,,,,1.0,,,,1.0,,2.0,2.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,1.0,3.0,,15.0,2.0,2.0,2.0,3.0,2.0,2.0,,5.0,1.0,1.0,4.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,,2.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,2.0,2.0,,16.0,2.0,,2.0,1.0,1.0,3.0,,2.0,1.0,1.0,4.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,2.0,2.0,,1.0,1.0,,2.0,1.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
275,2.0,,,13.0,5.0,1.0,,6.0,1.0,1.0,,1.0,,1.0,4.0,,,2.0,1.0,,1.0,1.0,1.0,,,4.0,,,2.0,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
